Time(s),Ch1(A),Ch2(V)
-2.749999999999998973e-03,-1.037658399999999981e+00,-2.798946999999999963e-01
-2.700000000000001010e-03,-1.030831700000000017e+00,-2.798946999999999963e-01
-2.649999999999999578e-03,-1.037658399999999981e+00,-2.935480999999999785e-01
-2.600000000000001615e-03,-1.037658399999999981e+00,-2.867214000000000151e-01
-2.550000000000000183e-03,-1.044485099999999944e+00,-3.003747999999999974e-01
-2.499999999999998751e-03,-1.044485099999999944e+00,-2.935480999999999785e-01
-2.450000000000000788e-03,-1.044485099999999944e+00,-2.867214000000000151e-01
-2.399999999999999356e-03,-1.044485099999999944e+00,-2.867214000000000151e-01
-2.350000000000001393e-03,-1.051311799999999907e+00,-3.003747999999999974e-01
-2.299999999999999961e-03,-1.051311799999999907e+00,-3.003747999999999974e-01
-2.250000000000001998e-03,-1.058138499999999871e+00,-2.867214000000000151e-01
-2.200000000000000566e-03,-1.051311799999999907e+00,-2.935480999999999785e-01
-2.149999999999999134e-03,-1.058138499999999871e+00,-3.072015000000000162e-01
-2.100000000000001171e-03,-1.058138499999999871e+00,-3.072015000000000162e-01
-2.049999999999999739e-03,-1.064965200000000056e+00,-2.935480999999999785e-01
-2.000000000000001776e-03,-1.064965200000000056e+00,-2.935480999999999785e-01
-1.950000000000000344e-03,-1.064965200000000056e+00,-3.140281999999999796e-01
-1.899999999999998912e-03,-1.064965200000000056e+00,-3.003747999999999974e-01
-1.850000000000000949e-03,-1.071791900000000020e+00,-3.072015000000000162e-01
-1.799999999999999517e-03,-1.071791900000000020e+00,-3.003747999999999974e-01
-1.750000000000001554e-03,-1.078618599999999983e+00,-3.140281999999999796e-01
-1.700000000000000122e-03,-1.071791900000000020e+00,-3.072015000000000162e-01
-1.649999999999998690e-03,-1.078618599999999983e+00,-3.140281999999999796e-01
-1.600000000000000727e-03,-1.078618599999999983e+00,-3.072015000000000162e-01
-1.549999999999999295e-03,-1.085445299999999946e+00,-3.208548999999999984e-01
-1.500000000000001332e-03,-1.085445299999999946e+00,-3.208548999999999984e-01
-1.449999999999999900e-03,-1.085445299999999946e+00,-3.072015000000000162e-01
-1.400000000000001937e-03,-1.085445299999999946e+00,-3.072015000000000162e-01
-1.350000000000000505e-03,-1.092271999999999910e+00,-3.208548999999999984e-01
-1.299999999999999073e-03,-1.092271999999999910e+00,-3.208548999999999984e-01
-1.250000000000001110e-03,-1.099098699999999873e+00,-3.276816000000000173e-01
-1.199999999999999678e-03,-1.092271999999999910e+00,-3.208548999999999984e-01
-1.150000000000001715e-03,-1.099098699999999873e+00,-3.276816000000000173e-01
-1.100000000000000283e-03,-1.099098699999999873e+00,-3.208548999999999984e-01
-1.049999999999998851e-03,-1.105925400000000058e+00,-3.345082999999999807e-01
-1.000000000000000888e-03,-1.105925400000000058e+00,-3.345082999999999807e-01
-9.499999999999994560e-04,-1.099098699999999873e+00,-3.276816000000000173e-01
-9.000000000000014932e-04,-1.105925400000000058e+00,-3.208548999999999984e-01
