Time(s),Ch1(A),Ch2(V)
-2.359999999999999685e-03,1.024019999999999930e-01,-2.730639999999999804e-02
-2.350000000000000092e-03,1.365359999999999907e-01,-2.525842000000000018e-02
-2.340000000000000066e-03,1.194689999999999919e-01,-2.764772999999999883e-02
-2.330000000000000040e-03,1.365359999999999907e-01,-2.389310000000000045e-02
-2.320000000000000014e-03,1.194689999999999919e-01,-2.764772999999999883e-02
-2.309999999999999987e-03,1.365359999999999907e-01,-2.491708999999999938e-02
-2.299999999999999961e-03,1.194689999999999919e-01,-2.594107999999999831e-02
-2.289999999999999935e-03,1.365359999999999907e-01,-2.389310000000000045e-02
-2.279999999999999909e-03,1.024019999999999930e-01,-2.525842000000000018e-02
-2.269999999999999882e-03,1.365359999999999907e-01,-2.252778000000000072e-02
-2.259999999999999856e-03,1.536029999999999895e-01,-2.252778000000000072e-02
-2.249999999999999830e-03,1.194689999999999919e-01,-2.594107999999999831e-02
-2.239999999999999804e-03,1.194689999999999919e-01,-2.559974999999999751e-02
-2.229999999999999778e-03,1.536029999999999895e-01,-2.389310000000000045e-02
-2.219999999999999751e-03,1.194689999999999919e-01,-2.389310000000000045e-02
-2.209999999999999725e-03,1.536029999999999895e-01,-2.184511999999999912e-02
-2.199999999999999699e-03,1.536029999999999895e-01,-2.047979999999999939e-02
-2.189999999999999673e-03,1.365359999999999907e-01,-2.286910999999999805e-02
-2.180000000000000080e-03,1.536029999999999895e-01,-2.184511999999999912e-02
-2.170000000000000054e-03,1.365359999999999907e-01,-2.491708999999999938e-02
-2.160000000000000028e-03,1.365359999999999907e-01,-2.218644999999999992e-02
-2.150000000000000001e-03,1.536029999999999895e-01,-2.525842000000000018e-02
-2.139999999999999975e-03,1.365359999999999907e-01,-2.594107999999999831e-02
-2.129999999999999949e-03,1.536029999999999895e-01,-2.321043999999999885e-02
-2.119999999999999923e-03,1.365359999999999907e-01,-2.252778000000000072e-02
-2.109999999999999896e-03,1.536029999999999895e-01,-2.525842000000000018e-02
-2.099999999999999870e-03,1.365359999999999907e-01,-2.457575999999999858e-02
-2.089999999999999844e-03,1.536029999999999895e-01,-2.286910999999999805e-02
-2.079999999999999818e-03,1.706699999999999884e-01,-2.252778000000000072e-02
-2.069999999999999792e-03,1.365359999999999907e-01,-2.491708999999999938e-02
-2.059999999999999765e-03,1.365359999999999907e-01,-2.457575999999999858e-02
-2.049999999999999739e-03,1.706699999999999884e-01,-2.184511999999999912e-02
-2.039999999999999713e-03,1.706699999999999884e-01,-2.321043999999999885e-02
-2.029999999999999687e-03,1.536029999999999895e-01,-1.945581000000000046e-02
-2.019999999999999660e-03,1.536029999999999895e-01,-2.116245999999999752e-02
-2.010000000000000068e-03,1.706699999999999884e-01,-1.809049000000000074e-02
-2.000000000000000042e-03,1.706699999999999884e-01,-2.013846999999999859e-02
