Time(s),Voltage(V)
-1.489999999999999769e+00,-3.413999999999999674e-02
-1.484999999999999876e+00,3.243299999999999655e-02
-1.479999999999999982e+00,3.072599999999999984e-02
-1.475000000000000089e+00,-3.072599999999999984e-02
-1.469999999999999751e+00,-3.755399999999999711e-02
-1.464999999999999858e+00,3.243299999999999655e-02
-1.459999999999999964e+00,2.389799999999999910e-02
-1.455000000000000071e+00,-3.243299999999999655e-02
-1.449999999999999734e+00,-2.731199999999999947e-02
-1.444999999999999840e+00,3.243299999999999655e-02
-1.439999999999999947e+00,-3.584699999999999692e-02
-1.435000000000000053e+00,3.072599999999999984e-02
-1.429999999999999716e+00,3.584699999999999692e-02
-1.424999999999999822e+00,-2.901899999999999966e-02
